"StationId","Name","Domain","Stipend","Location","Branches","Project Description","Reqd Skill Sets","Reqd Electives",
"4035","Amazon - Machine Learning(Bangalore)","IT","60000","Bangalore","Any A7 ,","PROJECT-1: 
","PROJECT-1: Algorithms , Big Data , Big Data , C++ , Data Analytics , Java , Python , BIG DATA-SPARK , Big Data/Hadoop/Spark/Data Visualization , Machine learning , Machine Learning Online / Offline , Machine Learning, Artificial Intelligence , Machine Learning, Deep Learning , Ability to think and analyze situations logically , Good communication , Good Communication Skills , Problem solving abilities , Strong Communication & Analytical Skills
","PROJECT-1: MACHINE LEARNING(A-)
",
"339","Amazon Development Center(Bangalore)","IT","60000","Bangalore","Any A7 , A7,","PROJECT-1: Software Development Engineers will be responsible for design, development, delivery and support of large-scale, multi-tiered, distributed software applications and tools. Qualifications: • Candidates must have a Bachelors/ Masters in Computer Science or Engineering or related field. • Excellent problem solving skills. • Possess an extremely sound understanding of areas in the basic areas of Computer Science such as Algorithms, Data Structures, Object Oriented Design, Databases. • Be able to write Amazon quality code in an object oriented language - preferably in C/C++/Java in a Linux environment. • Candidate must have good written and oral communication skills, be a fast learner and have the ability to adapt quickly to a fast-paced development environment. Skillset requirement: Ability to solve complex problems, knowledge on data structures & algorithms, write product level code.
PROJECT-2: Major responsibilities - Use machine learning, data mining and statistical techniques to create new, scalable solutions for business problems - Analyze and extract relevant information from large amounts of Amazon’s historical business data to help automate and optimize key processes - Design, develop and evaluate highly innovative models for predictive learning - Establish scalable, efficient, automated processes for large scale data analyses model development, model validation and model implementation - Research and implement novel machine learning and statistical approaches Basic Qualifications - A Masters and/or PhD in Computer Science, Machine Learning, Operational research, Statistics or in a highly quantitative field - Experience in predictive modelling and analysis, predictive software development - Strong problem-solving ability - Good skills with Java/Scala or C++, Perl/Python (or similar scripting language) - Experience in using R, Matlab, or any other statistical software - Strong communication and data presentation skills Preferred Qualifications - Experience handling gigabyte and terabyte size datasets - Experience working with distributed systems and grid computing - Knowledge of the latest and state of the art ML technology - Publications or presentation in recognized Machine Learning and Data Mining journals/conferences Skillset requirement: Machine Learning, Neural Networks and Fuzzy Logic, Ar??ficial Intelligence, Data Mining, Founda??ons of Data Science, Informa??on Retrieval
","PROJECT-1: Data structures and algorithms , Problem Solver, Self-starter
PROJECT-2: Machine Learning, Artificial Intelligence , Machine Learning, Deep Learning , Problem Solver, Self-starter
","PROJECT-1: -
PROJECT-2: -
",
"338","Amazon Development Center(Chennai)","IT","60000","Chennai","A7, C6,","PROJECT-1: Skillset requirement: Ability to solve complex problems, knowledge on data structures & algorithms, write product level code
","PROJECT-1: -
","PROJECT-1: -
",
"337","Amazon Development Center(Hyderabad)","IT","60000","Hyderabad","Any A7 , A7, C6,","PROJECT-1: Software Development Engineers are expected to build innovative & mission critical system software applications & tools. Require excellent problem solving skills. Expected to possess an extremely sound understanding of areas in the basic areas of Computer Science such as Algorithms, Data Structures, Object Oriented Design, Databases. Be able to write Amazon quality code in an object oriented language - preferably in Java/C++ in a Linux environment Candidate must have good written and oral communication skills, be a fast learner and have the ability to adapt quickly to a fast-paced development environment
","PROJECT-1: C , C++ , Data structures and algorithms , Databases , Java , OOAD , Problem Solver, Self-starter , ability to learn, adapt and deliver , Strong Communication & Analytical Skills
","PROJECT-1: -
",
"4826","Amazon Professional Services(Delhi)","IT","60000","Delhi","A7, C6,","PROJECT-1: AWS Professional Service is applying the public cloud technology into multiple industries in the world. We also partner with local consulting partner, integration partners and others across the spectrum of technologies to build better organizations that deliver the most value to customer in every project. We believe in the importance of strong, vital organizations because we know that customer can only be successful when our system is successful. Amazon Web Services is looking for highly talented hands on technical architects/Developer to help accelerate our growing Professional Services business. This is an excellent opportunity to join Amazon’s world class technical teams, working with some of the best and brightest engineers while also developing your skills and furthering your career within one of the most innovative and progressive technology companies. Here at Professional Services, we engage in a wide variety of business critical and global scale projects for customers and partners and help them best utilize the ever-evolving AWS platform. Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs. skills in any of the following: C++, Java, Node.js, Ruby, .NET, Python Good communication and presentation skills (English CET-6 preferred) ? Experience architecting, designing and programming applications in an AWS Cloud environment ? Experience architecting highly available systems that utilize load balancing, horizontal scalability and high availability ? Experience with designing and building application using Container or server less technologies ? Strong practical application development experience on Linux and Windows-based systems ? Experience working in distributed development teams ? Extra curricula software development passion (e.g. active open source contributor)
","PROJECT-1: -
","PROJECT-1: -
",
"3255","Apple India Pvt Limited(Hyderabad)","IT","45000","Hyderabad","Any A7 , A7, C6,","PROJECT-1: Internal Systems involving diverse technologies. Require very strong coding skills.
","PROJECT-1: C & C++ , Java , OOAD , Open Source Technolgies , Python , Attention to details , Good Communication Skills , independent worker, capable of self-management , Self-starter
","PROJECT-1: -
",
"3831","ASA Industries(Noida)","Mechanical","20000","Noida","A4, AB,","PROJECT-1: The students will also be working on market analysis and future expansion, manpower efficiency, etc
","PROJECT-1: -
","PROJECT-1: -
",
"4849","Asanify Technologies Pvt. Ltd.(Kolkata)","IT","25000","Kolkata","A7,","PROJECT-1: There are 50 mn + small businesses in India alone and they lack the competence to handle enterprise compliances, finance their payroll and engage their employees. Asanify (meaning: simplify) is a grand attempt to solve the huge challenge to simplify the lives for 100s of millions of people associate with these small businesses. This is a cutting edge project on using proprietary AI/ ML to develop a Chatbot using latest cloud technologies that can simultaneously solve these multiple huge challenges around automating compliances, providing financial guidance/ investments and motivating the people who account for 40% of India’s workforce. We want you if you are someone who is entrepreneurial in nature, is not afraid of taking up technically challenging complex projects without too much guidance and enjoys learning new and different things every day. Since we are an early stage startup – there will be immense exposure – meeting international clients to understand global requirements, directly working with experienced founder/ CEO, developing products from scratch using cutting edge cloud technologies and proprietary IPs and optionally contributing towards building the business itself. We would ideally want you to eventually join as as a full time employee post graduation if you believe in our mission. Project domain : Fin-tech, HR Tech, Personal Finance, SAAS (Software as a Service), Cloud Technology (AWS) Skills: Python, SQL, Data Structures, React/ Angular/ Vue JS, Javascript, CSS, NLP, Image recognition [one or more of above] Creative writing skills preferred for writing technical blogs, and strong in cocurricular activities Data Structures, Algorithms, RDBMS, (preferred exposure to image recognition technologies) Affinity for small business/ startups and for finance/ investments. Since we are an early stage startup – there will be immense exposure: • Directly meeting international clients to capture requirements, • developing products from scratch using latest cloud technologies based on AWS • Micro-services and event driven architecture • Using cutting edge project management tools (Scrum, Kanban, Jira, etc.) • Designing innovative UI/ UX and framing chat workflows • Search Engine Optimization • Content marketing/ blogs • Optional exposure towards building the business itself (marketing, sales, etc.)
","PROJECT-1: -
","PROJECT-1: -
",
"4803","Asteria Aerospace Pvt. Ltd.(Bangalore)","IT","18000","Bangalore","A3, A8, AA,","PROJECT-1: The project requires development and testing of sensor fusion methods for redundant GPS. The interns will implement the embedded software and test on Asteria’s custom hardware. • Programming in C language • Knowledge on Embedded hardware and software • Knowledge of sensor fusion algorithms like Kalman Filtering. Good communication skills Signals and Systems, C programming • Embedded software implementation skills • Modeling, simulation and implementation of sensor fusion algorithms • Industrial best practices on software development lifecycle and test automation • Electronic component integration using various communication protocols
PROJECT-2: This project involves development of algorithms for Computer Vision for drone. Successful accomplishment of project will result in Object Tracking and Autonomous Navigation capabilities on UAV Project Domain: Aerospace software • Programming in C/C++/Python languages • Knowledge on Image processing • Knowledge on OpenCV, OpenCL or GPU implementation of computer vision algorithms is preferable. Good communication skills Image Processing • Implementation of Computer Vision algorithms like Object Detection, Object Recognition. • Working on ROS. • Exposure to embedded processor boards (SoM/SoC)
","PROJECT-1: -
PROJECT-2: -
","PROJECT-1: -
PROJECT-2: -
",
"3539","Avaamo(Bangalore)","IT","75000","Bangalore","A7,","PROJECT-1: AI and Machine learning project in the domain of data science. Skills required: ML, AI, Ruby on Rails. Excellent communication skills. Students should preferably have taken courses in AI and ML.
","PROJECT-1: Machine Learning, Artificial Intelligence , Ruby on rails , strong oral and written communication skills
","PROJECT-1: -
",
"364","Blue Jeans Network India Pvt. Ltd.(Bangalore)","IT","50000","Bangalore","A7,","PROJECT-1: • Design, application front-end features that are part of every user’s daily experience End-to-end implementation, including initial concept design, coding, unit testing and release to production • Should be strong in Data structures, Algorithms and CS fundamentals. • Must have good working knowledge in any one of the programming languages like Java/J2EE,C/C++,C# etc
","PROJECT-1: Algorithms , Computer programming Skill , Data Structure , Problem Solver, Self-starter , Ability to learn and adapt
","PROJECT-1: -
",
"488","Blue Yonder (JDA)(Bangalore)","IT","25000","Bangalore","AnyAny","PROJECT-1: We need interns for software product development and support in SCM and Retail domain. Project domain: SCM & Retail Computer Science fundamentals Communication Skills
","PROJECT-1: -
","PROJECT-1: -
",
"489","Blue Yonder (JDA)(Hyderabad)","IT","25000","Hyderabad","A3, A7, A8, AA,Any","PROJECT-1: We need interns for software product development and support in SCM and Retail domain. Project domain SCM & Retail Skills: Computer Science fundamentals Communication Skills
","PROJECT-1: -
","PROJECT-1: -
",
"4081","BNY Mellon Technology(Chennai)","Finance and Mgmt","60000","Chennai","A3, A4, A7, A8, AA, AB,","PROJECT-1: 1. Working with the project team in the enhancement of PRPC workflow for the efficiencies in 2020 plan 2. Automation of eMaster checks processing 3. Analyze opportunities to eliminate or automate processing based on fax instructions Project Domain: Operations Efficiency Good understanding of automation techniques like OCR, Machine Learning, API etc. Analytical Skills, Ability to work with metrics and identify opportunities, Team player Flexible to work in shifts 1. Project Management to achieve desired results 2. Business Metrics and drivers for growth 3. Stakeholder Management
","PROJECT-1: -
","PROJECT-1: -
",
"4082","BNY Mellon Technology(Pune)","Finance and Mgmt","60000","Pune","Any","PROJECT-1: Import ready billing excel file for advantage system Operations Efficiency Advanced excel, Macros and ETL tools Analytical Skills 1. Understanding of Financial business processes 2. Understanding billing lifecycle
PROJECT-2: Data Design will partner closely with Business and Technology to ensure data assets are designed, developed and matured with an eye towards extensibility and future use Project domain Data Design Database Engineer, Data Modeling, Data Architecture, Data Analysis, Business Analyst Technical Skills - Java, Semantic Modeling (protégé+owl+rdf+sparql), Visualizing Ontologies, Semantic Web Standards, Pentaho ETL, Data Modeling, Microsoft Technologies (.Net, VBA, MS SQL) Strong Communication and Presentation skills Certification in mentioned technical skills will be good to have Intern will be able to design and implement business data models
PROJECT-3: Data Insights will develop, mature, and execute on the Operations vision for extracting value and insights from our data while partnering with the Digital and Technology teams Project domain Data Insights Database Engineer, Data Modeling, Data Architecture, Data Analysis, Business Analyst Technical Skills - Data Mining, Data Visualization, SQL, Power BI, Tableau, Qlik, and Advanced Excel Strong Communication and Presentation skills Certification in Data related discipline will be good to have Intern will be able to generate actionable business data insights
PROJECT-4: 1. Working with the project team in the enhancement of PRPC workflow for the efficiencies in 2020 plan 2. Automation of eMaster checks processing 3. Analyze opportunities to eliminate or automate processing based on fax instructions Project domain Operations Efficiency Good understanding of automation techniques like OCR, Machine Learning, API etc. Analytical Skills, Ability to work with metrics and identify opportunities, Team player NA Flexible to work in shifts 1. Project Management to achieve desired results 2. Business Metrics and drivers for growth 3. Stakeholder Management
PROJECT-5: Build the Automated test suit for the TA online application functionality to support the cross browser/Cross platform testing capability in the rolling project delivery. Project domain Transfer Agency 1. Core Java Selenium WebDriver API Good Verbal and written communication skills Core Java , Selenium Good to have knowledge on tools such as JIRA,ALM • Understanding of test automation frameworks • Selenium WebDriver API • Automated testing knowledge for Cross browser and cross platform ( Web & mobility) projects.
PROJECT-6: MMI process has Mundane steps where research is not required. RPA could be implemented in this process to Mimic the user functions and perform the conversions. Project domain Money Market Instrument RPA, Machine learning , Java, Dot net, SQL Database Communication, Presentation skills, Advance Excel and MS Visio Incumbent will acquired in-depth experience with Software programing tools which are much applied in industries along with Money Market Instrument domain knowledge.
PROJECT-7: Transfer agency TA imaging workflow carries all contracts , authorized signatories and business rules inside. Today it’s a challenge to automate signature verification process which is very high in volume, as the signature rules are stored inside pdf docs or websites. This project aims to read documents and websites and pull structured information through NLP/ML/OCR technology Project domain Transfer Agency Business RPA, Machine learning , Java, Dot net, SQL Database Communication, Presentation skills, Advance Excel and MS Visio Incumbent will acquired in-depth experience with Software programing tools which are much applied in industries along with transfer agency domain knowledge.
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
PROJECT-4: -
PROJECT-5: -
PROJECT-6: -
PROJECT-7: -
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
PROJECT-4: -
PROJECT-5: -
PROJECT-6: -
PROJECT-7: -
",
"3352","Bosch Research and Technology center(Bangalore)","IT","30000","Bangalore","A7,","PROJECT-1: We are a research group working in the area of image analysis, computer vision, and machine learning with applications in autonomous driving. We have open internship positions in research and development. The intern will collaborate with team members towards the development of cutting edge technology in aforementioned areas. Solid mathematical skills, with special emphasis on linear algebra, probability and statistics. Solid programming skills in python along with good understanding of algorithms and data structures. The ideal applicant should be self-motivated to read and understand the state of the art papers and implement new ideas. The scope of the work will include but is not limited to Deep learning based object detection, tracking, semantic segmentation, and scene understanding with applications in autonomous driving. Good of Machine Learning, Computer Vision, and/or Image Processing, and usage of open source libraries such as OpenCV, Scikit-Learn/Image, Deep learning frameworks such as Keras, Tensorflow, Pytorch.
PROJECT-2: skills: Solid mathematical skills, with special emphasis on linear algebra, probability and statistics. Good programming skills in python along with good understanding of algorithms and data structures. Good knowledge of Machine Learning, Time Series techniques, Statistics, and usage of open source libraries such as OpenCV, Sklearn, deep learning frameworks such as Keras, Tensorflow, Pytorch. The ideal applicant would be self-motivated to read and understand the state of the art papers and implement new ideas. The scope of the work will include but is not limited to traditional and deep learning based techniques for sensor analytics as well as development of platforms to enable these. Research in Text Analytics Internship in Text Analytics area would focus mainly on analytics on text corpora (especially domain specific corpora) based on statistical or linguistic approaches to identify patterns, key concepts, topics and relationships from unstructured data. We currently build on techniques based on Deep Learning, Graph and traditional Machine Learning. Prerequisites: Programming in Python, basics of Machine Learning and exposure to Deep Learning frameworks (Tensorflow, Pytorch, Keras) and NLP libraries (Gensim, spaCy).
","PROJECT-1: -
PROJECT-2: -
","PROJECT-1: -
PROJECT-2: -
",
"4897","Bridge Your Network Inc(Bangalore)","IT","700","Bangalore","A7,","PROJECT-1: VC backed company looking to replace LinkedIn. You will be involved in the core application development alongside our 11 world class engineers and designers Project domain : Software Product Development Skills: Proven ability to build products with well designed and maintainable code and algorithms Communication skills are very important as our core value is over-communicate Ideally as many software development and product development modules as possible Ideally they have a Founder mindset and want to be founders in the futureExpected learning (in bullet points) We want your time at Bridge to be the most formative of your career. If it goes well we would love to hire you full time once you graduate
","PROJECT-1: -
","PROJECT-1: -
",
"4859","Bunch Microtechnologies Pvt Ltd(Noida)","Finance and Mgmt","20000","Noida","Any","PROJECT-1: Product marketing helps the company to increase the transactions. Project domain : Marketing Skills: Good communication skills, analytical thought process Good written communications skills -Drive traffic towards app or website -Overall understanding of marketing in a startup
","PROJECT-1: -
","PROJECT-1: -
",
"4869","Calypso Technology India Pvt Ltd(Mumbai)","IT","21000","Mumbai","A7,","PROJECT-1: The BackOffice modules in the Calypso product supports post trade processing functionality. These modules interface with external entities (e.g Global Trade Repository) by exchanging messages in real-time and batch modes. Project domain : Capital Markets / Trading Systems Skills: Core Java, SQL Team collaboration STEM related, physics, maths, computer science etc Must reside in Mumbai • Coding in production grade systems • Test driven development • Exposure to Capital Markets
","PROJECT-1: -
","PROJECT-1: -
",
"674","Central Electronics Engineering Research Institute(Pilani)","Electronics","0","Pilani","A3, A7, A8, AA,","PROJECT-1: Explainable AI deals with the implementation of transparency and traceability of statistical black-box machine learning methods, particularly deep learning (DL). Explainable-AI in the context of medicine must take into account that diverse data may contribute to a relevant result. This requires that medical professionals must have a possibility to understand how and why a machine decision has been made
PROJECT-2: Visual surveillance generates a huge amount of data. A single camera alone can generate terabytes of data over time. This data needs to be screened for abnormal events. This is usually done either through operators that keep active lookout on various screens or as a means of deterrence where the videos are analyzed after the effect if an untoward incidence (such as robbery) has occurred. Clearly, there is a need to automate this tedious process. Therefore, identifying abnormal activities automatically has been an important problem from the application perspective
PROJECT-3: Using augmented reality to understand hindu temples. Scan the tablet or your phone towards the monument or temple, and a three-dimensional visualization will appear on your screen. A menu chart lists images, documents, video, website, audio, a 3D model and the route map.
","PROJECT-1: Perl, Python or Ruby on Rails , Deap Learning , Machine Learning, Artificial Intelligence
PROJECT-2: Perl, Python or Ruby on Rails , Machine Learning, Deep Learning , Perl or Python
PROJECT-3: augmented reality , unity sw
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
",
"672","Central Leather Research Institute (CLRI)(Chennai)","Chemical","0","Chennai","A3, A7, A8, AA,","PROJECT-1: Skills: Python programming, Matlab programming, Image processing, Pattern Recognition, Good problem solving skills, interpersonal skills, good team player Image processing / Artificial Intelligence Expected learning (in bullet points) Gain experience in working real industrial problems; Knowledge in design and developing DL application
","PROJECT-1: -
","PROJECT-1: -
",
"378","Centre for Development of Advanced Computing(Pune)","IT","","Pune","A7,","PROJECT-1: The application will have three major components ? OCR & Image identification/extraction ? AI engine ? Text instructions ¦ Read OCR instructions ¦ Understand instructions using NLP ? Images instructions ¦ Read images from Image extraction model ¦ Understand instructions using Image classification model ? HTML engine ? Generate based on combined instructions from Text as well as Images Project domain : AI Skills: ? OCR ? NLU & NLP ? Computer Vision & image processing ? HTML
PROJECT-2: In supercomputing domain, exascale ambition will present multiple challenges and opportunities at the same time. HPC would not be the same as it is till PetaScale supercomputer ranges. We are living in a era where domain like HPC , Deep Learning & BigData is converging. Upcoming Exascale systems need to be designed with a holistic view of HPC, Big Data, Deep Learning, and Cloud. As a domain expert we are struggling to understand how BigData software and eco-system can co-exist with existing HPC Infrastructure. This insists us to experiment with various BigData software and platform on top of HPC system to find out how they can coexists for the benefit of their respective domain users. The pathway is not clearly defined, that is why its experimental and research oriented. Under this project we wish to perform Project domain : HPC Skills: Knowledge of ? computer architecture ? system software ? OS and hands on experience of linux system. ? Study of HPC and BigData software eco-system. ? Do survey about fundamental nature of software/libraries/runtime of respective domain. ? What are the challenges in convergence and coexistence of both on same infrastructure. ? What are tools and technologies available to overcome them. ? Find out core issues - and decide / develop software / tools to overcome those. ? Establish a more convenient , smooth workflow with our developed solution and demonstrate the convergence of HPC & BigData on our supercomputer.
PROJECT-3: In the exascale era, HPC systems needs crucial management and monitoring to ensure the effectiveness of costly machine with high up-time and resiliency. The challenges of system monitoring, and managing hpc systems at exascale are immense as the scale and complexity of the infrastructure increases. According to that, development of monitoring and management framework is expected under this project. Project domain : HPC Skills: Knowledge of ? Linux with Hands-on Experience ? Web- Technology: Angular, REST API, Spring, Hibernate, ? Database Technology: Non-Relational DB: MongoDB ? Programming Languages: Python, Java, Shell Scripting Expected learning (in bullet points) ? Study of HPC software eco-system. ? Do survey about fundamental nature of software/libraries/runtime of respective domain. ? Study of existing monitoring and management framework in HPC Domain. ? What are the challenges in Large – scale system monitoring. ? Identification of HPC metrics to be monitor and finding out standard methodologies. ? Development of plugins/ module for mentioned framework ? Deployment of module on In-house super-computing systems and project documentation.
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
",
"243","Centre For Development Of Imaging Technology(Trivandrum)","IT","10000","Trivandrum","A7,","PROJECT-1: project related to circuit branches
","PROJECT-1: -
","PROJECT-1: -
",
"3953","Cisco Systems (India) Pvt. Ltd. - Hardware (Bangalore)","Electronics","70000","Bangalore","Any A3 , Any A8 , Any AA , A3, A8, AA,","PROJECT-1: Develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Intern&apos;s responsibilities vary by the function and project in which you will work. Available positions in the areas of: ASIC Design and Verification System/Board Design Circuit Board Layout Hardware Automation, Validation and Test Signal Integrity Power Design
","PROJECT-1: vlsi logic design , Problem Solver, Self-starter , Ability to learn and adapt , Analytical and Problem solving skills
","PROJECT-1: -
",
