StationId,Name,Domain,Stipend,Location,Branches,Project Description,Reqd Skill Sets, Reqd Electives
3617,AlmaConnect(Gurgaon),Finance and Mgmt,20000,Gurgaon,Any,"Operations/ Market Research/ Marketing Students need to be Technically sound and updated with the current world","Excel , Problem Solver, Self-starter , Good Analytical , problem solving skills , Good Verbal & Written Communication Skills","-"
335,Altair Engineering India Pvt. Ltd. - Software Division(Bangalore),IT,20000,Bangalore,A4 A7,"A Bachelors / Masters degree in Engineering - Mechanical/Aerospace/Computer Science, Applied Mathematics, or related discipline Experience in developing geometric/mesh generation/mesh manipulation algorithms and related data structures in industry, research, or academia Proficiency in C++ programming and object-oriented application design Experience or knowledge of parallel programming and related data structures will be plus Understanding of CAD/CAE element software a plus Familiarity with Finite Element Method (FEM) and Experience in PLM systems would be an advantage. Experience with Agile and lean software development processes is also a plus. Requires good communication skills and the ability to work in a collaborative team environment","3D CAD Design , Algorithm development , Algorithms , C++,Data Structures,Geometry,TCL/Tk , OOPS , coding/programming skills","-"
4053,Amazon - Area Manager(Delhi),Finance and Mgmt,60000,Delhi,A1 A2 A3 A4 A8 AA AB,"AREA MANAGER Join the Operations team as an Area Manager - Intern. This role requires working with business teams across the company to define requirements and high level process/system solutions, leading cross-functional teams and managing the timelines for field operations teams to support project launches. To be customer centric, work on operational metrics, high focus on quality, productivity& safety. This position involves regular communication with senior management on status, risks and change control. Cross team coordination, project management and executive presentation skills are essential, as are a willingness to “roll up your sleeves” and get into the details that will make Operations world class. DEMONSTRATED ABILITIES An innovative Area Manager with superior analytical abilities ? Has excellent technical, problem-solving, and communication skills ? Finds practical and simple solutions to complex problems without sacrificing quality or core functionality ? Experience defining projects, collecting requirements, designing process solutions ? Ability to utilize exceptional problem-solving, and communication skills to influence business and technical audiences ? Provide day-to-day support during the rollout/implementation of newer systems/processes and gather feedback ? Map business requirements, understand business process, study and analyze workflows, design solutions. ADDITIONAL JOB ELEMENTS ? Regular bending, lifting, stretching and reaching both below the waist and above the head ? Walking in the FC and around area with great frequency ? Continual standing and/or walking ? Ability to work in construction /distribution environments that may be noisy, unlit, not airconditioned ? Able to access all areas of building (ascending and descending ladders, stairs, gangways safely and without limitation) SKILLS REQUIRED ? Experience with performance metrics and process improvement (how, when, who) ? Candidates must be flexible to work weekends and/or overnight shifts regularly BASIC QUALIFICATIONS The successful candidate will: ? Thrive on change, inclined to operate with flexibility and commit the time required to get the job done ? Work shifts, including weekends, in an operational 7/365 environment ? Willing to relocate if necessary PREFERRED QUALIFICATIONS ? A grasp of KAIZEN and LEAN methodology techniques would be welcome. ? Interest in long-term career development through assignments in multiple FCs","-","-"
4035,Amazon - Machine Learning(Bangalore),IT,60000,Bangalore,Any,"Research Engineer As a Research Engineer, you will help solve a variety of technical challenges and work alongside other engineers. You will play an active role in translating business and functional requirements into concrete deliverables and build quick prototypes in partnership with other technology leaders within the team. You will tackle challenging, novel situations every day and given the size of this initiative, you’ll have the opportunity to work with multiple technical teams at Amazon in different locations. You should be comfortable with a degree of ambiguity that’s higher than most projects and relish the idea of solving problems that, frankly, haven’t been solved before - anywhere. Along the way, we guarantee that you’ll learn a ton, have fun and make a positive impact on millions of people. Basic Qualification ? Depth and breadth in state-of-the-art computer vision, machine learning, or deep learning technologies ? Proven track record of innovation in creating novel algorithms and advancing the state of the art ? Ability to develop practical solutions to complex problems ? Strong communication and collaboration skills ? Proficiency in C/C++, python, and/or matlab","-","-"
4036,Amazon - Machine Learning(Hyderabad),IT,60000,Hyderabad,A7,"Excited by Big Data, Machine Learning and Predictive Software? Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data? At Amazon, we are developing state-of-the-art large-scale Machine Learning Services and Applications on the Cloud involving Terabytes of data. We work on applying predictive technology to a wide spectrum of problems in areas such as Amazon Retail, Seller Services, Customer Service, Alexa, Chatbots and so on. We are looking for talented and experienced Machine Learning Scientists (Masters/Ph.D. in a related area preferred) who can apply innovative Machine Learning techniques to real-world e-Commerce problems. You will get to work in a team dedicated to advancing Machine Learning technology at Amazon and converting it to business-impacting solutions. Major responsibilities - Use machine learning, data mining and statistical techniques to create new, scalable solutions for business problems - Analyze and extract relevant information from large amounts of Amazon’s historical business data to help automate and optimize key processes - Design, develop and evaluate highly innovative models for predictive learning - Establish scalable, efficient, automated processes for large scale data analyses model development, model validation and model implementation - Research and implement novel machine learning and statistical approaches Basic Qualifications - A Masters and/or PhD in Computer Science, Machine Learning, Operational research, Statistics or in a highly quantitative field - Experience in predictive modelling and analysis, predictive software development - Strong problem-solving ability - Good skills with Java/Scala or C++, Perl/Python (or similar scripting language) - Experience in using R, Matlab, or any other statistical software - Strong communication and data presentation skills Preferred Qualifications - Experience handling gigabyte and terabyte size datasets - Experience working with distributed systems and grid computing - Knowledge of the latest and state of the art ML technology - Publications or presentation in recognized Machine Learning and Data Mining journals/conferences","-","-"
3981,Amazon - Operation Manager(Chennai),Finance and Mgmt,60000,Chennai,Any,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4043,Amazon - Operations Manager(Coimbatore),Finance and Mgmt,60000,Coimbatore,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4046,Amazon - Operations Manager(Hyderabad),Finance and Mgmt,60000,Hyderabad,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4048,Amazon - Operations Manager(Lucknow),Finance and Mgmt,60000,Lucknow,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
3982,Amazon - Operations Manager(Mumbai),Finance and Mgmt,60000,Mumbai,Any,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4038,Amazon - Operations Manager(Bangalore),Finance and Mgmt,60000,Bangalore,Any,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4039,Amazon - Operations Manager(Bhubaneswar),Finance and Mgmt,60000,Bhubaneswar,Any,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4037,Amazon - Operations Manager(Ahmedabad),Finance and Mgmt,60000,Ahmedabad,Any,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4041,Amazon - Operations Manager(Delhi),Finance and Mgmt,60000,Delhi,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4044,Amazon - Operations Manager(Goa),Finance and Mgmt,60000,Goa,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4040,Amazon - Operations Manager(Chandigarh),Finance and Mgmt,60000,Chandigarh,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4051,Amazon - Operations Manager(Vijayawada),Finance and Mgmt,60000,Vijayawada,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
4052,Amazon - Operations Manager(Visakhapatnam),Finance and Mgmt,60000,Visakhapatnam,A1 A2 A3 A4 A8 AA AB,"Operations Manager Intern At Amazon, we&apos;re working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is seeking Operations Manager Intern for our Transportation team. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers We are seeking an Operation manager intern. In this role you will be responsible for driving up the sortation & line haul infrastructure in the region which includes identifying the new routes. Essential Functions ? Defining the transportation process from FC to delivery stations ? Ensure enough bandwidth in sortation team to ensure peak time delivery management ? Conduct the performance appraisals of the station supervisors and mentor them for handling efficient operations ? Continuously improve the through put and attain a sustained level of delivery performance improvement ? Analysis of the data reports to identify performance bottlenecks and improve the performance ? Implement the formal process control and process improvement mechanisms such as Kaizen Essential Skills ? Strong leadership capabilities and people management skills ? Strong execution skills, Action oriented, go getter ? Resourceful to identify the way to get things done using limited resources ? Ability to work under pressure situations ? Ability to work in ambiguous situations and to come out with solutions as per the situations faced Basic Qualifications ? Pursuing B.Tech ? Experience in logistics field desirable and the experience in courier industry highly preferred ? People management experience. Experience in handling field team is highly desirable. ? Experience in handling live operation preferred (wherein decisions have to be taken on the spot and actions needs to be initiated right away) ? Experience in process improvement preferred with additional benefits for knowledge of specific methodologies such has six sigma, Kaizen etc.","-","-"
